"siteID","Sites","Description","Soil.characteristics","Products","Economic.interests","Other.services","Hypothetical.combinations","Link","lat","lon"
188,"Lat: 51.92990312742073, Lng: -4.628808119262882","10 acre smallholding with Badgerface Torwen sheep grazing apple orchard, walnut orchard and other mixed silvopasture. Other plantings include living barns, tree hay pollards, evergreen shelter-belts and various coppice coups including hazel, chestnut, coast redwood and black locust.","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.9299031274207,-4.62880811926288
189,"Lat: 52.0392122, Lng: -1.614779505","800+ trees in pasture, mostly Juglans regia but also other juglans/carya cultivars for fruit","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",52.0392122,-1.614779505
190,"Lat: 51.7222, Lng: -2.1463","Focusing on Cob nuts planted in an alleys on pasture. Additional planting with a mix of cob nuts and plum and a subsequent complex mix of Walnuts, pears, red and black currents, gooseberries, and rhubarb.","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Diversified product range","","Agroforestry Map of Europe - DigitAF",51.7222,-2.1463
191,"Lat: 51.563978, Lng: -1.664243","Commercial organic farm, with Helen Browning's cherries, damsons, quince, dessert pears, apricots, almonds, raspberries, mixed berries, with laying hens, 4.5 ha. Larger fields planted for silvopastoral agroforestry with sheep, perhaps cattle as trees get larger.","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.563978,-1.664243
192,"Lat: 51.4397644, Lng: -1.4927097","Two Agroforestry plantations (p.1993 and p.2002) initially established as a silvoarable system, later converted to silvopastoral. Rows of trees are 14 metres apart with alleys now sown to mixed species permanent pasture. This is used for haymaking and outdoor over-wintering of livestock. Long term, oak, ash, cherry and black walnut will produce sawn timber. Other trees are largely managed for biomass.","low soil fertility","(Intended) use of trees:
production biofuel wood
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.4397644,-1.4927097
193,"Lat: 51.05605, Lng: -2.23168","Sheep farm with regenerative methods, agroforestry trees planted for fruit and nuts in pasture land in 2023.","low soil fertility
susceptibility to erosion","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
Erosion protection
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.05605,-2.23168
194,"Lat: 50.861, Lng: -3.7865","Trees planted in rows 3 m apart, 14 m alleys for grazing of beef cattle. Oak, alder, Scots pine, downy birch, lime, sycamore, field maple, plus walnut, apple and sweet chestnut for fruit/nuts. A site in the Innovative Farmers Twelve Year Field Lab.","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.861,-3.7865
195,"Lat: 51.280497, Lng: 3.070559","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",51.280497,3.070559
196,"Lat: 51.237163, Lng: 3.046008","","","(Intended) use of trees:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",51.237163,3.046008
197,"Lat: 51.176639, Lng: 2.864249","","","(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

","","","","Agroforestry Map of Europe - DigitAF",51.176639,2.864249
198,"Lat: 51.089169, Lng: 2.753145","","","(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.089169,2.753145
199,"Lat: 51.17142, Lng: 3.228386","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.17142,3.228386
200,"Lat: 51.213688, Lng: 3.390839","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.213688,3.390839
201,"Lat: 51.094973, Lng: 3.477487","","","","","","","Agroforestry Map of Europe - DigitAF",51.094973,3.477487
202,"Lat: 51.032649, Lng: 3.093483","","","(Intended) use of trees:
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.032649,3.093483
203,"Lat: 50.87802, Lng: 2.622998","Het Westvlaamse rode ras is al eeuwen verankerd in deze regio, zowel West-Vlaanderen als Frans-Vlaanderen. Tegenwoordig is het aantal rode koeien flink geslonken door de economische ontwikkelingen in de landbouwsector. We treffen deze koeien nog slechts aan op een handvol bedrijven. Het ras is gerenommeerd om zijn zeer hoogkwalitatief vlees: onze koeien worden uitsluitend gevoerd met biologisch ruwvoer (gras, klaver, hooi). 64, 8978 Watou, Provincie West-Vlaanderen","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.87802,2.622998
